Gender,Year,Shelter,Canteen_Usage,Weekly_Income,Foodspend%,Nutritional_consciousness, Usually_prefer_for_breakfast, Usually_prefer_for_Lunch, Usually_prefer_for_Dinner,DigitPayUsageCanteens,Convenience,Enhancements,Canteen_cleanliness_importance,University_canteen_sanitation,Cleanliness_rate_in_Base canteen,Cleanliness_rate_in_Gym_canteen,Cleanliness_rate_in_Staff_canteen,Cleanliness_rate_in_hilton_canteen,Cleanliness_rate_in_Din&sons_canteen,Cleanliness_rate_in_Helabojunhala_canteen,Cleanliness_rate_in_kirihala_canteen,Cleanliness_rate_in_staffJuicebar,Cleanliness_rate_in_GymJuicebar,Canteen_sanitation_issues ,Canteen_portion_sizes,Canteen_food_waste,Main_reason,Agree_on_portion_customization,Waste_management_rate_in_Basecanteen,Waste_management_rate_in_Gymcanteen,Waste_management_rate_in_Staffcanteen,Waste_management_rate_in_hiltoncanteen,Waste_management_rate_in_Don&sonscanteen,Waste_management_rate_in_Hela_bojun_hala_canteen,Waste_management_rate_in_kirihalacanteen,Waste_management_rate_in_staffJuicebar,Waste_management_rate_in_GymJuicebar,Most_visited_canteen,Base_Canteen_visits,Gym_Canteen_visits,Staff_Canteen_visits,Hilton_Canteen_visits,Don&Son's_shop_visits,Hela_Bojun_Hala_visits,Kiri Hala_Canteen_visits,JuiceBarI(in Gym)_visits,JuicebarII(in Staff)_visits,Factor_Food_Quality,Factor_Price,Factor_Service_Speed,Factor_Cleanliness,Factor_Beverage_Options,Factor_Seating_Availability,BaseCanteen_OverallSatisfaction,GymCanteen_OverallSatisfaction,StaffCanteen_OverallSatisfaction,HiltonCanteen_OverallSatisfaction,Don&Son'sshop_OverallSatisfaction,HelaBojunHala_OverallSatisfaction,KiriHalaCanteen_OverallSatisfaction,JuiceBarI(in Gym)_OverallSatisfaction,JuicebarII(in Staff)_OverallSatisfaction
Male,First Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,60 - 80,4 - Important,2,1,2,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Satisfied,3,4,5,3,3,3,5,4,4,Other,Just right,Sometimes,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Staff canteen󠇯,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Daily,Daily,Hela Bojun Hala,Gym Canteen,Gym Canteen,Base Canteen,Staff Canteen,Gym Canteen,3,3,3,3,3,3,3,3,3
Male,Second Year,Bording/Apartment,Frequently,Rs.3000 - Rs.4000,60 - 80,1 - Not important,2,2,3,Never,1 - Not Convenient,None,3 - Moderately important,Neutral,3,2,3,3,3,4,3,4,4,Unclean seating areas,Much too small,Rarely,The food was not fresh,Agree,3,2,3,3,3,2,2,3,3,Base canteen󠇯,Frequently,Occasionally,Rarely,Occasionally,Never,Rarely,Rarely,Occasionally,Occasionally,Juice bar II (in Staff),Base Canteen,Hela Bojun Hala,Hela Bojun Hala,Base Canteen,Base Canteen,4,2,3,3,4,4,4,5,5
Female,Fourth Year,Bording/Apartment,Frequently,Rs.3000 - Rs.4000,60 - 80,3 - Moderately important,3,2,3,Rarely,2 - Slightly Convenient,Meal subscription plans,5 - Very important,Neutral,3,2,2,2,2,2,2,2,2,Unclean seating areas,Much too large,Sometimes,The food was not fresh,Neutral,2,2,2,2,2,2,3,2,2,Base canteen󠇯,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Gym Canteen,Gym Canteen,Gym Canteen,Gym Canteen,Gym Canteen,Gym Canteen,3,3,3,3,3,3,3,3,3
Female,Second Year,At Home,Occasionally,Rs.4000 - Rs.5000,20 - 40,4 - Important,2,2,3,Never,1 - Not Convenient,None,5 - Very important,Dissatisfied,5,2,3,3,4,3,4,5,5,Unclean equipment,Slightly too large,Often,I didn't like the taste,Agree,5,4,4,4,5,5,5,5,5,Base canteen󠇯,Daily,Occasionally,Rarely,Never,Never,Never,Never,Daily,Occasionally,Juice Bar I (in Gym),Base Canteen,Staff Canteen,Base Canteen,Kiri Hala,Base Canteen,5,3,3,3,4,1,3,5,5
Male,First Year,Bording/Apartment,Daily,Rs.2000 - Rs.3000,60 - 80,2 - Slightly important,3,3,3,Never,1 - Not Convenient,None,5 - Very important,Satisfied,4,3,5,2,5,4,4,5,5,Unclean equipment,Just right,Never,I didn't like the taste,Disagree,3,3,3,3,3,3,3,5,5,Base canteen󠇯,Frequently,Occasionally,Never,Frequently,Never,Occasionally,Occasionally,Rarely,Rarely,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Juice bar II (in Staff),Base Canteen,5,4,4,4,4,4,4,4,4
Female,First Year,Bording/Apartment,Occasionally,Rs.4000 - Rs.5000,40 - 60,3 - Moderately important,2,2,2,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Neutral,4,3,4,2,5,3,3,5,5,Poor food handling practices,Just right,Often,I didn't like the taste,Neutral,4,4,4,4,4,4,4,5,5,Staff canteen󠇯,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Staff Canteen,Base Canteen,Base Canteen,Juice Bar I (in Gym),Juice Bar I (in Gym),Gym Canteen,3,3,4,2,4,3,4,5,5
Female,First Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,60 - 80,5 - Very important,2,2,2,Occasionally,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,3,3,3,3,3,3,3,3,3,Unclean equipment,Just right,Rarely,I didn't like the taste,Agree,4,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Frequently,Rarely,Rarely,Never,Rarely,Rarely,Daily,Frequently,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,3,3,3,3,3,3,3
Female,Fourth Year,Campus Hostels,Daily,Above Rs.5000,60 - 80,3 - Moderately important,3,2,3,Never,1 - Not Convenient,Discounts or rewards for digital payments,5 - Very important,Dissatisfied,4,3,3,2,4,2,3,4,4,Unclean equipment,Just right,Often,The food was not fresh,Neutral,4,3,3,3,3,3,3,4,4,Base canteen󠇯,Daily,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Daily,Occasionally,Base Canteen,Base Canteen,Staff Canteen,Staff Canteen,Staff Canteen,Base Canteen,4,3,3,3,4,2,3,5,4
Male,First Year,At Home,Never,Less than Rs.2000,0 - 20,3 - Moderately important,2,1,2,Never,4 - Convenient,Meal subscription plans,5 - Very important,Neutral,4,3,4,2,5,4,4,5,5,Poor food handling practices,Slightly too large,Sometimes,Other,Agree,4,4,4,4,4,4,5,5,5,Staff canteen󠇯,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Staff Canteen,Gym Canteen,Base Canteen,Juice bar II (in Staff),Juice bar II (in Staff),Gym Canteen,3,3,3,2,3,3,3,4,4
Male,First Year,Bording/Apartment,Daily,Rs.4000 - Rs.5000,60 - 80,5 - Very important,2,2,2,Occasionally,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,5,4,3,3,3,3,3,5,5,Poor food handling practices,Slightly too small,Rarely,I didn't like the taste,Agree,4,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Frequently,Occasionally,Rarely,Rarely,Rarely,Rarely,Daily,Occasionally,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,3,3,3,3,3,3,3
Male,First Year,Bording/Apartment,Frequently,Rs.4000 - Rs.5000,40 - 60,2 - Slightly important,3,2,1,Never,2 - Slightly Convenient,Discounts or rewards for digital payments,4 - Convenient,Dissatisfied,4,3,3,3,4,4,4,5,5,Unclean equipment,Just right,Sometimes,I didn't like the taste,Agree,3,3,4,3,5,3,3,3,3,Base canteen󠇯,Daily,Frequently,Rarely,Rarely,Never,Never,Rarely,Daily,Occasionally,Juice Bar I (in Gym),Base Canteen,Staff Canteen,Staff Canteen,Staff Canteen,Base Canteen,4,2,3,2,4,2,3,4,4
Male,First Year,Campus Hostels,Daily,Rs.4000 - Rs.5000,60 - 80,4 - Important,2,2,2,Frequently,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,4,3,4,3,3,3,3,3,3,Lack of waste disposal bins,Just right,Never,I didn't like the taste,Agree,4,3,3,3,3,3,3,4,3,Base canteen󠇯,Daily,Frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Daily,Frequently,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,4,3,3,3,3,3,4,3
Female,First Year,Bording/Apartment,Daily,Rs.4000 - Rs.5000,60 - 80,5 - Very important,2,2,2,Occasionally,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,4,4,3,3,3,3,3,4,3,Poor food handling practices,Slightly too small,Sometimes,I didn't like the taste,Agree,4,4,4,4,4,4,4,4,4,Base canteen󠇯,Daily,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Daily,Frequently,Base Canteen,Gym Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,4,3,4,3,3,3,3,3
Male,Second Year,At Home,Occasionally,Rs.4000 - Rs.5000,20 - 40,4 - Important,1,2,3,Never,1 - Not Convenient,Discounts or rewards for digital payments,4 - Convenient,Neutral,3,2,3,2,4,3,3,4,4,Unclean equipment,Just right,Often,I didn't like the taste,Neutral,3,2,2,4,4,2,3,5,5,Base canteen󠇯,Daily,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Daily,Occasionally,Juice Bar I (in Gym),Base Canteen,Staff Canteen,Staff Canteen,Hilton Canteen,Base Canteen,4,2,3,3,4,3,3,5,4
Male,Second Year,Bording/Apartment,Frequently,Rs.2000 - Rs.3000,40 - 60,4 - Important,1,1,1,Never,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,4,3,4,3,4,4,4,3,3,Lack of waste disposal bins,Just right,Sometimes,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Gym canteen󠇯,Frequently,Daily,Frequently,Frequently,Never,Never,Occasionally,Frequently,Frequently,Staff Canteen,Hilton Canteen,Gym Canteen,Base Canteen,Gym Canteen,Base Canteen,3,3,3,3,3,3,3,3,3
Male,First Year,Bording/Apartment,Daily,Above Rs.5000,80 - 100,5 - Very important,2,2,2,Rarely,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,4,4,4,4,4,4,4,4,4,Lack of waste disposal bins,Just right,Rarely,I didn't like the taste,Agree,4,4,4,4,4,4,4,4,4,Hilton canteen󠇯,Frequently,Occasionally,Occasionally,Daily,Rarely,Rarely,Rarely,Rarely,Daily,Hilton Canteen,Hilton Canteen,Hilton Canteen,Hilton Canteen,Hilton Canteen,Hilton Canteen,4,4,4,4,4,4,4,4,4
Female,First Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,60 - 80,5 - Very important,5,2,2,Never,3 - Moderately Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,4,4,4,4,4,4,4,4,4,Unclean seating areas,Just right,Sometimes,I didn't like the taste,Agree,4,4,4,4,4,4,4,4,4,Base canteen󠇯,Daily,Frequently,Occasionally,Occasionally,Rarely,Rarely,Rarely,Daily,Frequently,Base Canteen,Gym Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,4,4,4,4,4,4,4,4
Male,Fourth Year,Campus Hostels,Daily,Rs.3000 - Rs.4000,40 - 60,4 - Important,3,2,3,Never,1 - Not Convenient,Discounts or rewards for digital payments,2 - Slightly important,Dissatisfied,3,2,3,3,4,3,3,4,4,Unclean equipment,Just right,Sometimes,I didn't like the taste,Disagree,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Occasionally,Rarely,Never,Never,Never,Never,Daily,Occasionally,Juice Bar I (in Gym),Juice Bar I (in Gym),Staff Canteen,Staff Canteen,Staff Canteen,Base Canteen,4,2,2,2,4,2,3,5,4
Female,Fourth Year,At Home,Occasionally,Above Rs.5000,20 - 40,2 - Slightly important,1,2,3,Never,1 - Not Convenient,Discounts or rewards for digital payments,5 - Very important,Dissatisfied,3,1,1,2,4,2,2,4,4,Unclean equipment,Slightly too small,Always,I didn't like the taste,Disagree,3,3,3,3,4,2,3,4,4,Staff canteen󠇯,Frequently,Daily,Occasionally,Never,Never,Never,Never,Frequently,Rarely,Juice Bar I (in Gym),Gym Canteen,Gym Canteen,Staff Canteen,Staff Canteen,Gym Canteen,3,4,3,3,4,2,2,4,4
Male,Fourth Year,Campus Hostels,Frequently,Above Rs.5000,40 - 60,1 - Not important,1,2,3,Frequently,4 - Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Neutral,4,2,3,2,4,3,3,4,4,Unclean equipment,Slightly too small,Often,I didn't like the taste,Neutral,3,2,2,2,4,2,2,4,3,Base canteen󠇯,Daily,Occasionally,Never,Never,Never,Never,Rarely,Frequently,Occasionally,Juice Bar I (in Gym),Gym Canteen,Staff Canteen,Base Canteen,Staff Canteen,Base Canteen,4,2,3,2,3,1,2,4,3
Male,Second Year,Bording/Apartment,Occasionally,Rs.2000 - Rs.3000,40 - 60,4 - Important,1,3,1,Never,1 - Not Convenient,Meal subscription plans,5 - Very important,Neutral,3,3,3,3,4,4,4,4,4,Unclean seating areas,Just right,Sometimes,I didn't like the taste,Neutral,3,3,3,3,4,4,4,5,5,Base canteen󠇯,Frequently,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Hela Bojun Hala,Gym Canteen,Juice bar II (in Staff),Hela Bojun Hala,Juice bar II (in Staff),Base Canteen,3,3,3,3,4,4,4,4,4
Female,Second Year,Bording/Apartment,Rarely,Rs.3000 - Rs.4000,40 - 60,5 - Very important,1,2,1,Never,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,3,3,3,3,4,4,4,4,4,Poor food handling practices,Slightly too large,Sometimes,I didn't like the taste,Agree,2,2,3,2,3,3,3,3,3,Gym canteen󠇯,Occasionally,Frequently,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Frequently,Frequently,Hela Bojun Hala,Gym Canteen,Juice bar II (in Staff),Hela Bojun Hala,Juice bar II (in Staff),Gym Canteen,3,3,3,2,3,3,3,4,4
Male,Second Year,Bording/Apartment,Daily,Rs.2000 - Rs.3000,60 - 80,2 - Slightly important,3,3,2,Rarely,3 - Moderately Convenient,None,2 - Slightly important,Dissatisfied,4,3,3,3,4,4,4,4,4,Unclean seating areas,Much too small,Sometimes,I didn't like the taste,Agree,4,3,3,4,4,4,4,4,4,Base canteen󠇯,Frequently,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Base Canteen,Gym Canteen,Hilton Canteen,Don & Son's shop,Hela Bojun Hala,Gym Canteen,4,2,2,3,4,4,4,4,4
Female,Fourth Year,Campus Hostels,Daily,Rs.2000 - Rs.3000,40 - 60,5 - Very important,1,2,4,Never,4 - Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Neutral,3,3,3,3,3,3,3,3,3,Unclean seating areas,Slightly too large,Sometimes,The portion size is too large,Strongly Agree,3,3,3,3,3,3,3,3,3,Staff canteen󠇯,Frequently,Frequently,Daily,Occasionally,Frequently,Frequently,Occasionally,Frequently,Daily,Staff Canteen,Gym Canteen,Juice bar II (in Staff),Hela Bojun Hala,Juice bar II (in Staff),Gym Canteen,3,3,3,3,3,3,3,3,3
Male,Fourth Year,Bording/Apartment,Occasionally,Rs.2000 - Rs.3000,40 - 60,5 - Very important,1,3,4,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Neutral,3,3,3,3,4,4,4,4,4,Poor food handling practices,Just right,Sometimes,I didn't like the taste,Agree,3,3,3,3,4,4,4,4,4,Hela Bojun Hala󠇯,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Staff Canteen,Gym Canteen,Juice bar II (in Staff),Hela Bojun Hala,Juice bar II (in Staff),Base Canteen,3,3,3,3,3,3,3,4,4
Male,First Year,Bording/Apartment,Occasionally,Rs.2000 - Rs.3000,60 - 80,4 - Important,3,2,1,Never,2 - Slightly Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Neutral,3,3,4,3,4,4,3,3,3,Unclean seating areas,Slightly too large,Often,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Gym canteen󠇯,Rarely,Frequently,Rarely,Rarely,Never,Rarely,Occasionally,Frequently,Frequently,Staff Canteen,Gym Canteen,Base Canteen,Staff Canteen,Juice Bar I (in Gym),Base Canteen,3,3,4,2,3,3,3,4,4
Male,Second Year,Bording/Apartment,Frequently,Rs.3000 - Rs.4000,80 - 100,3 - Moderately important,2,2,1,Never,3 - Moderately Convenient,Meal subscription plans,3 - Moderately important,Neutral,3,4,5,4,3,3,3,3,3,Poor food handling practices,Just right,Rarely,The food was not fresh,Neutral,3,4,3,3,4,3,4,4,4,Staff canteen󠇯,Rarely,Occasionally,Frequently,Rarely,Rarely,Rarely,Occasionally,Frequently,Frequently,Staff Canteen,Base Canteen,Base Canteen,Staff Canteen,Kiri Hala,Gym Canteen,2,3,1,4,4,1,5,4,4
Male,Fourth Year,Campus Hostels,Daily,Rs.4000 - Rs.5000,80 - 100,2 - Slightly important,5,2,2,Never,3 - Moderately Convenient,Meal subscription plans,4 - Convenient,Neutral,4,4,5,4,5,5,4,4,4,Unclean seating areas,Just right,Never,I didn't like the taste,Strongly Agree,4,4,4,4,4,4,4,4,4,Base canteen󠇯,Daily,Daily,Occasionally,Occasionally,Never,Daily,Rarely,Frequently,Frequently,Hela Bojun Hala,Gym Canteen,Base Canteen,Hela Bojun Hala,Hela Bojun Hala,Base Canteen,5,5,4,4,4,5,4,5,4
Female,Second Year,Bording/Apartment,Daily,Rs.2000 - Rs.3000,80 - 100,3 - Moderately important,2,2,3,Never,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,4,3,3,3,5,5,4,4,4,Poor food handling practices,Just right,Sometimes,I didn't like the taste,Neutral,4,4,4,4,4,5,4,5,5,Staff canteen󠇯,Rarely,Rarely,Frequently,Rarely,Rarely,Daily,Occasionally,Daily,Occasionally,Staff Canteen,Base Canteen,Base Canteen,Base Canteen,Juice Bar I (in Gym),Base Canteen,4,3,3,2,4,5,4,5,4
Female,Second Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,40 - 60,3 - Moderately important,1,2,4,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Neutral,3,2,2,2,4,4,4,3,3,Unclean seating areas,Slightly too small,Sometimes,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Hela Bojun Hala󠇯,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Daily,Frequently,Frequently,Frequently,Hela Bojun Hala,Gym Canteen,Base Canteen,Hela Bojun Hala,Juice Bar I (in Gym),Gym Canteen,3,3,3,3,3,4,3,3,3
Male,Second Year,At Home,Daily,Rs.3000 - Rs.4000,20 - 40,3 - Moderately important,1,2,2,Never,5 - Very Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Neutral,3,2,4,3,2,3,2,2,2,Unclean seating areas,Slightly too small,Never,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,4,3,3,3,3,3,3
Female,Second Year,Bording/Apartment,Occasionally,Less than Rs.2000,80 - 100,3 - Moderately important,1,2,2,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Neutral,3,2,3,2,4,3,3,4,4,Unclean seating areas,Just right,Sometimes,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Staff canteen󠇯,Occasionally,Never,Daily,Never,Rarely,Occasionally,Rarely,Never,Frequently,Staff Canteen,Base Canteen,Base Canteen,Base Canteen,Staff Canteen,Base Canteen,3,2,4,2,3,4,3,3,4
Male,Second Year,Bording/Apartment,Occasionally,Rs.2000 - Rs.3000,60 - 80,5 - Very important,1,2,3,Never,3 - Moderately Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Neutral,4,3,4,3,4,4,4,4,4,Poor food handling practices,Slightly too small,Sometimes,I didn't like the taste,Disagree,3,3,3,3,4,4,4,4,4,Hela Bojun Hala󠇯,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Hela Bojun Hala,Base Canteen,Kiri Hala,Hela Bojun Hala,Juice bar II (in Staff),Gym Canteen,3,3,3,3,3,4,4,4,4
Male,Second Year,At Home,Daily,Rs.3000 - Rs.4000,20 - 40,3 - Moderately important,1,2,4,Rarely,2 - Slightly Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,3,1,4,3,4,4,4,4,4,Poor food handling practices,Slightly too small,Rarely,The food was not fresh,Disagree,5,2,3,4,4,4,4,4,4,Base canteen󠇯,Daily,Rarely,Occasionally,Occasionally,Never,Never,Never,Rarely,Rarely,Staff Canteen,Hilton Canteen,Base Canteen,Juice Bar I (in Gym),Juice Bar I (in Gym),Hilton Canteen,4,1,4,4,3,3,3,4,3
Female,Second Year,At Home,Frequently,Above Rs.5000,40 - 60,1 - Not important,1,2,4,Never,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,3,2,4,3,4,3,2,4,4,Unclean equipment,Just right,Rarely,The food was not fresh,Neutral,3,3,3,3,4,3,3,4,4,Base canteen󠇯,Daily,Occasionally,Frequently,Rarely,Rarely,Rarely,Rarely,Occasionally,Frequently,Don & Son's shop,Staff Canteen,Base Canteen,Staff Canteen,Juice bar II (in Staff),Base Canteen,4,2,4,3,3,3,3,3,4
Female,Second Year,At Home,Daily,Rs.2000 - Rs.3000,40 - 60,2 - Slightly important,2,2,4,Never,2 - Slightly Convenient,Discounts or rewards for digital payments,4 - Convenient,Dissatisfied,3,3,4,3,4,4,4,4,4,Unclean seating areas,Just right,Rarely,The food was not fresh,Agree,4,4,4,4,4,4,3,4,4,Staff canteen󠇯,Frequently,Occasionally,Frequently,Rarely,Rarely,Occasionally,Occasionally,Frequently,Frequently,Staff Canteen,Staff Canteen,Staff Canteen,Hela Bojun Hala,Kiri Hala,Base Canteen,4,4,4,4,4,4,4,4,4
Female,Third Year,Bording/Apartment,Daily,Rs.4000 - Rs.5000,40 - 60,2 - Slightly important,1,2,3,Never,2 - Slightly Convenient,Discounts or rewards for digital payments,5 - Very important,Dissatisfied,4,2,3,3,4,4,4,4,4,Unclean equipment,Just right,Sometimes,I didn't like the taste,Neutral,4,3,4,3,5,3,4,5,5,Base canteen󠇯,Daily,Occasionally,Rarely,Rarely,Never,Rarely,Rarely,Frequently,Occasionally,Staff Canteen,Base Canteen,Base Canteen,Base Canteen,Staff Canteen,Gym Canteen,4,2,3,3,3,2,3,4,4
Male,Second Year,At Home,Rarely,Above Rs.5000,20 - 40,2 - Slightly important,5,2,5,Never,1 - Not Convenient,None,5 - Very important,Satisfied,4,4,4,3,3,3,4,4,4,Poor food handling practices,Just right,Never,Other,Strongly Agree,4,4,2,3,3,3,2,4,4,Base canteen󠇯,Occasionally,Frequently,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Frequently,Occasionally,Gym Canteen,Gym Canteen,Gym Canteen,Base Canteen,Juice Bar I (in Gym),Gym Canteen,4,4,4,3,3,3,3,4,4
Male,Second Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,40 - 60,4 - Important,1,3,3,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Very Dissatisfied,1,1,1,1,5,4,4,5,5,Unclean equipment,Much too small,Often,I didn't like the taste,Strongly Agree,2,2,2,2,4,5,3,5,5,Juice Bar I (in Gym)󠇯,Rarely,Frequently,Never,Daily,Daily,Daily,Daily,Never,Never,Juice Bar I (in Gym),Juice Bar I (in Gym),Hilton Canteen,Juice Bar I (in Gym),Juice Bar I (in Gym),Base Canteen,2,2,1,3,5,4,4,5,5
Male,Second Year,At Home,Frequently,Rs.4000 - Rs.5000,60 - 80,2 - Slightly important,5,2,5,Never,4 - Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Dissatisfied,2,3,2,3,3,3,4,4,4,Poor food handling practices,Just right,Sometimes,The food was not fresh,Agree,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Frequently,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Staff Canteen,Gym Canteen,Staff Canteen,Staff Canteen,Staff Canteen,Hilton Canteen,2,3,2,3,4,4,3,3,3
Male,Third Year,Bording/Apartment,Daily,Rs.4000 - Rs.5000,40 - 60,3 - Moderately important,2,2,2,Never,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,3,3,3,3,3,3,3,3,3,Other,Just right,Never,Other,Neutral,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Rarely,Frequently,Daily,Rarely,Never,Rarely,Rarely,Rarely,Staff Canteen,Hilton Canteen,Base Canteen,Hilton Canteen,Don & Son's shop,Hilton Canteen,3,3,3,3,3,3,3,3,3
Female,Second Year,Bording/Apartment,Frequently,Less than Rs.2000,20 - 40,4 - Important,2,2,2,Never,2 - Slightly Convenient,Discounts or rewards for digital payments,5 - Very important,Very Dissatisfied,2,2,2,2,4,3,4,3,3,Poor food handling practices,Slightly too small,Rarely,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Staff canteen󠇯,Frequently,Occasionally,Frequently,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Staff Canteen,Staff Canteen,Kiri Hala,Hela Bojun Hala,Juice Bar I (in Gym),Base Canteen,4,3,4,3,4,4,4,3,3
Female,Third Year,Campus Hostels,Daily,Rs.3000 - Rs.4000,40 - 60,4 - Important,5,2,2,Never,1 - Not Convenient,Discounts or rewards for digital payments,4 - Convenient,Neutral,3,3,3,3,3,3,3,3,3,Lack of waste disposal bins,Just right,Sometimes,I didn't like the taste,Neutral,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Frequently,Rarely,Never,Never,Rarely,Rarely,Occasionally,Occasionally,Staff Canteen,Base Canteen,Base Canteen,Staff Canteen,Kiri Hala,Gym Canteen,4,3,4,3,3,3,3,3,3
Male,First Year,Bording/Apartment,Frequently,Rs.2000 - Rs.3000,40 - 60,3 - Moderately important,1,1,1,Never,2 - Slightly Convenient,Discounts or rewards for digital payments,3 - Moderately important,Dissatisfied,1,2,3,4,4,3,3,4,2,Lack of waste disposal bins,Just right,Rarely,The food was not fresh,Neutral,4,2,4,3,2,3,4,3,4,Staff canteen󠇯,Never,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Frequently,Base Canteen,Gym Canteen,Gym Canteen,Staff Canteen,Hilton Canteen,Don & Son's shop,3,2,3,4,1,5,3,4,4
Male,Second Year,At Home,Rarely,Rs.4000 - Rs.5000,40 - 60,4 - Important,1,2,2,Never,2 - Slightly Convenient,Discounts or rewards for digital payments,4 - Convenient,Neutral,3,2,3,2,4,2,2,4,4,Unclean equipment,Just right,Often,The food was not fresh,Neutral,3,3,3,3,3,3,3,3,3,Gym canteen󠇯,Frequently,Daily,Occasionally,Rarely,Rarely,Rarely,Rarely,Frequently,Occasionally,Gym Canteen,Gym Canteen,Base Canteen,Base Canteen,Hilton Canteen,Gym Canteen,3,4,2,2,2,2,3,3,3
