Gender,Year,Shelter,Canteen_Usage,Weekly_Income,Foodspend%,Nutritional_consciousness, Usually_prefer_for_breakfast, Usually_prefer_for_Lunch, Usually_prefer_for_Dinner,DigitPayUsageCanteens,Convenience,Enhancements,Canteen_cleanliness_importance,University_canteen_sanitation,Cleanliness_rate_in_Base canteen,Cleanliness_rate_in_Gym_canteen,Cleanliness_rate_in_Staff_canteen,Cleanliness_rate_in_hilton_canteen,Cleanliness_rate_in_Din&sons_canteen,Cleanliness_rate_in_Helabojunhala_canteen,Cleanliness_rate_in_kirihala_canteen,Cleanliness_rate_in_staffJuicebar,Cleanliness_rate_in_GymJuicebar,Canteen_sanitation_issues ,Canteen_portion_sizes,Canteen_food_waste,Main_reason,Agree_on_portion_customization,Waste_management_rate_in_Basecanteen,Waste_management_rate_in_Gymcanteen,Waste_management_rate_in_Staffcanteen,Waste_management_rate_in_hiltoncanteen,Waste_management_rate_in_Don&sonscanteen,Waste_management_rate_in_Hela_bojun_hala_canteen,Waste_management_rate_in_kirihalacanteen,Waste_management_rate_in_staffJuicebar,Waste_management_rate_in_GymJuicebar,Most_visited_canteen,Base_Canteen_visits,Gym_Canteen_visits,Staff_Canteen_visits,Hilton_Canteen_visits,Don&Son's_shop_visits,Hela_Bojun_Hala_visits,Kiri Hala_Canteen_visits,JuiceBarI(in Gym)_visits,JuicebarII(in Staff)_visits,Factor_Food_Quality,Factor_Price,Factor_Service_Speed,Factor_Cleanliness,Factor_Beverage_Options,Factor_Seating_Availability,BaseCanteen_OverallSatisfaction,GymCanteen_OverallSatisfaction,StaffCanteen_OverallSatisfaction,HiltonCanteen_OverallSatisfaction,Don&Son'sshop_OverallSatisfaction,HelaBojunHala_OverallSatisfaction,KiriHalaCanteen_OverallSatisfaction,JuiceBarI(in Gym)_OverallSatisfaction,JuicebarII(in Staff)_OverallSatisfaction
Female,Third Year,Campus Hostels,Frequently,Less than Rs.2000,40 - 60,3 - Moderately important,2,2,2,Never,3 - Moderately Convenient,Discounts or rewards for digital payments,4 - Convenient,Satisfied,5,4,4,4,4,4,4,5,4,Other,Just right,Sometimes,I didn't like the taste,Disagree,4,4,4,4,4,4,4,4,4,Base canteen󠇯,Occasionally,Occasionally,Rarely,Rarely,Never,Never,Rarely,Occasionally,Rarely,Base Canteen,Gym Canteen,Base Canteen,Base Canteen,Gym Canteen,Base Canteen,5,4,4,4,4,4,4,4,4
Male,Third Year,Bording/Apartment,Daily,Above Rs.5000,40 - 60,4 - Important,2,2,2,Never,2 - Slightly Convenient,None,5 - Very important,Neutral,4,1,1,4,3,5,4,4,4,Poor food handling practices,Much too small,Never,I didn't like the taste,Strongly Agree,3,1,3,2,3,3,3,3,3,Base canteen󠇯,Daily,Daily,Rarely,Occasionally,Never,Never,Rarely,Rarely,Rarely,Base Canteen,Base Canteen,Staff Canteen,Base Canteen,Base Canteen,Gym Canteen,4,1,4,4,4,4,4,4,4
Male,Second Year,Bording/Apartment,Daily,Less than Rs.2000,20 - 40,3 - Moderately important,2,3,2,Never,5 - Very Convenient,Discounts or rewards for digital payments,3 - Moderately important,Dissatisfied,2,3,4,3,5,3,3,5,3,Poor food handling practices,Just right,Sometimes,I didn't like the taste,Disagree,2,3,2,3,2,3,2,3,4,Base canteen󠇯,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Rarely,Base Canteen,Base Canteen,Gym Canteen,Gym Canteen,Base Canteen,Base Canteen,1,2,1,3,2,2,3,3,2
Male,Second Year,Bording/Apartment,Occasionally,Rs.2000 - Rs.3000,40 - 60,3 - Moderately important,2,2,3,Rarely,2 - Slightly Convenient,Discounts or rewards for digital payments,3 - Moderately important,Neutral,3,2,3,3,2,1,3,3,2,Lack of waste disposal bins,Just right,Rarely,I didn't like the taste,Neutral,2,3,3,3,3,3,3,2,2,Hilton canteen󠇯,Never,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Base Canteen,Base Canteen,Gym Canteen,Base Canteen,Gym Canteen,Base Canteen,4,2,3,2,1,2,2,2,3
Male,Fourth Year,Campus Hostels,Daily,Rs.4000 - Rs.5000,40 - 60,3 - Moderately important,2,3,3,Never,1 - Not Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Neutral,4,1,3,2,4,4,3,5,5,Unclean equipment,Just right,Always,I didn't like the taste,Neutral,2,2,1,3,3,3,4,5,5,Base canteen󠇯,Daily,Frequently,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Staff Canteen,Base Canteen,Staff Canteen,Gym Canteen,Staff Canteen,Gym Canteen,5,4,4,3,4,3,3,3,3
Female,Third Year,At Home,Occasionally,Less than Rs.2000,40 - 60,3 - Moderately important,1,2,2,Never,4 - Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Neutral,4,3,4,3,5,3,4,4,5,Poor food handling practices,Slightly too small,Rarely,The portion size is too large,Agree,5,4,5,3,5,3,5,5,5,Base canteen󠇯,Daily,Frequently,Occasionally,Rarely,Occasionally,Never,Rarely,Frequently,Frequently,Don & Son's shop,Base Canteen,Base Canteen,Juice bar II (in Staff),Juice bar II (in Staff),Gym Canteen,4,3,4,3,5,3,4,5,5
Female,Fourth Year,Bording/Apartment,Frequently,Above Rs.5000,40 - 60,2 - Slightly important,3,2,3,Frequently,4 - Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Satisfied,4,2,4,3,5,4,3,5,5,Unclean equipment,Just right,Sometimes,The food was not fresh,Agree,4,3,4,3,5,3,4,5,4,Base canteen󠇯,Daily,Frequently,Occasionally,Occasionally,Never,Never,Rarely,Daily,Rarely,Base Canteen,Hilton Canteen,Gym Canteen,Juice bar II (in Staff),Staff Canteen,Gym Canteen,4,2,4,2,4,3,4,4,4
Male,Fourth Year,Campus Hostels,Never,Above Rs.5000,60 - 80,5 - Very important,2,3,1,Occasionally,2 - Slightly Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,3,3,4,2,4,4,4,5,5,Unclean seating areas,Just right,Sometimes,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Juice Bar I (in Gym)󠇯,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,Never,Frequently,Frequently,Staff Canteen,Base Canteen,Base Canteen,Juice Bar I (in Gym),Juice Bar I (in Gym),Gym Canteen,3,3,4,2,4,4,4,4,4
Female,Fourth Year,At Home,Never,Rs.3000 - Rs.4000,20 - 40,4 - Important,3,2,2,Never,5 - Very Convenient,None,5 - Very important,Very Dissatisfied,2,2,2,2,2,2,2,4,4,Poor food handling practices,Just right,Never,I didn't like the taste,Agree,2,2,2,2,2,2,2,4,4,Juice Bar I (in Gym)󠇯,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,Frequently,Staff Canteen,Base Canteen,Base Canteen,Juice Bar I (in Gym),Juice bar II (in Staff),Gym Canteen,2,2,2,2,2,2,2,4,4
Male,Second Year,Bording/Apartment,Frequently,Rs.4000 - Rs.5000,60 - 80,2 - Slightly important,2,3,3,Never,3 - Moderately Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Dissatisfied,4,3,4,3,4,1,4,4,4,Unclean seating areas,Just right,Rarely,I didn't like the taste,Neutral,4,4,4,4,4,4,4,4,4,Gym canteen󠇯,Rarely,Frequently,Rarely,Occasionally,Never,Occasionally,Rarely,Occasionally,Rarely,Hela Bojun Hala,Gym Canteen,Base Canteen,Hela Bojun Hala,Juice Bar I (in Gym),Gym Canteen,4,4,4,4,4,4,4,4,4
